FILE,PATH,SHA256,STATUS,CANONICAL_FILE
COTIZACIONES_0.2_b68c.xlsx,/home/ubuntu/.cursor/projects/workspace/uploads/COTIZACIONES_0.2_b68c.xlsx,a49c6eeba7f2622b64f79215db34d0a19eba53879b53d1f792a3161515a90ac8,UNIQUE,COTIZACIONES_0.2_b68c.xlsx
COTIZACIONES_DORALEX_SRL_bb53.xlsx,/home/ubuntu/.cursor/projects/workspace/uploads/COTIZACIONES_DORALEX_SRL_bb53.xlsx,b8976264e2394a6a3956ced1a151917fe47abbfba307143508db609a2be8eab3,UNIQUE,COTIZACIONES_DORALEX_SRL_bb53.xlsx
COTIZACIONES_DORALEX_f72a.xlsx,/home/ubuntu/.cursor/projects/workspace/uploads/COTIZACIONES_DORALEX_f72a.xlsx,d4a6b1791b103a6d1484cc2159298cd398116e713fd0e07fd7bd54a48f2a35da,UNIQUE,COTIZACIONES_DORALEX_f72a.xlsx
COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx,/home/ubuntu/.cursor/projects/workspace/uploads/COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx,faba744d725992c883f6ff91a97a3c45944489a1619b47f23a49d401ccab4f70,UNIQUE,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
COTIZACIONES__REMPART_GROUP_2_3578.xlsx,/home/ubuntu/.cursor/projects/workspace/uploads/COTIZACIONES__REMPART_GROUP_2_3578.xlsx,a0cd1a70b640e6ddf6931cb4239e6293ca75371b8a0123a80d798a2bc730a4a8,UNIQUE,COTIZACIONES__REMPART_GROUP_2_3578.xlsx
COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx,/home/ubuntu/.cursor/projects/workspace/uploads/COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx,b0c67b0eab3896238eeea85e2b6c1481e3fef1b74ff4679cd849b7140fbd6d71,UNIQUE,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
COTIZACIONES_b089.xlsx,/home/ubuntu/.cursor/projects/workspace/uploads/COTIZACIONES_b089.xlsx,d7e2332fdbded1427a50838865ec89b064b12bfdd50994ff40360eec03871756,UNIQUE,COTIZACIONES_b089.xlsx
COTIZACION_-2026_MAYO_4932.xlsx,/home/ubuntu/.cursor/projects/workspace/uploads/COTIZACION_-2026_MAYO_4932.xlsx,450e685cce41daa8a8e019a4e08c844225837a0e7faf24acabc5c6c49f4fdcb4,UNIQUE,COTIZACION_-2026_MAYO_4932.xlsx
COTIZACION_MATERIALES_FERRETERO1_7286.xlsx,/home/ubuntu/.cursor/projects/workspace/uploads/COTIZACION_MATERIALES_FERRETERO1_7286.xlsx,cea7864bb2cd3ff6921cf8c11a5edf56173c5f743516722c971d120899adf10a,UNIQUE,COTIZACION_MATERIALES_FERRETERO1_7286.xlsx
COT_95d1.xlsx,/home/ubuntu/.cursor/projects/workspace/uploads/COT_95d1.xlsx,858403c5287ee1d02317219c2aac48533f874cbe90231b96bcd116a5e8236e19,UNIQUE,COT_95d1.xlsx
FORMATO_DE_COTIZACION_2_21f4.xlsx,/home/ubuntu/.cursor/projects/workspace/uploads/FORMATO_DE_COTIZACION_2_21f4.xlsx,237e5a7c757f37ff485d010e1ce4d0b2b8375ed834d00ab8c18c69f526a9bc2e,UNIQUE,FORMATO_DE_COTIZACION_2_21f4.xlsx
cotizacion_del_marcelino_9bd9.xlsx,/home/ubuntu/.cursor/projects/workspace/uploads/cotizacion_del_marcelino_9bd9.xlsx,448ccc1c478900ce0512e195a0a1a15edd090602b8ccdabe2c8ecd40faf0640c,UNIQUE,cotizacion_del_marcelino_9bd9.xlsx
COTIZACIONES__DOMINION_BUSINESS_2_e7f1.xlsx,/home/ubuntu/.cursor/projects/workspace/uploads/COTIZACIONES__DOMINION_BUSINESS_2_e7f1.xlsx,faba744d725992c883f6ff91a97a3c45944489a1619b47f23a49d401ccab4f70,EXACT_DUPLICATE_FILE_SKIPPED,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
COTIZACIONES__REMPART_GROUP_8ad7.xlsx,/home/ubuntu/.cursor/projects/workspace/uploads/COTIZACIONES__REMPART_GROUP_8ad7.xlsx,a0cd1a70b640e6ddf6931cb4239e6293ca75371b8a0123a80d798a2bc730a4a8,EXACT_DUPLICATE_FILE_SKIPPED,COTIZACIONES__REMPART_GROUP_2_3578.xlsx
COTIZACIONES___2023-2024_PIN_ARIAS_9be5.xlsx,/home/ubuntu/.cursor/projects/workspace/uploads/COTIZACIONES___2023-2024_PIN_ARIAS_9be5.xlsx,b0c67b0eab3896238eeea85e2b6c1481e3fef1b74ff4679cd849b7140fbd6d71,EXACT_DUPLICATE_FILE_SKIPPED,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
FORMATO_DE_COTIZACION_3b5f.xlsx,/home/ubuntu/.cursor/projects/workspace/uploads/FORMATO_DE_COTIZACION_3b5f.xlsx,237e5a7c757f37ff485d010e1ce4d0b2b8375ed834d00ab8c18c69f526a9bc2e,EXACT_DUPLICATE_FILE_SKIPPED,FORMATO_DE_COTIZACION_2_21f4.xlsx
