FILE,SHEET,VISIBLE,ROWS,COLUMNS,DOCUMENT_TYPE,HAS_PRODUCT_LINES,HEADER_ROW,STATUS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion1,VISIBLE,28,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Factura1,VISIBLE,27,7,INVOICE,True,14,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo1,VISIBLE,13,9,COST_ANALYSIS,True,7,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion2,VISIBLE,31,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Factura 4,VISIBLE,29,7,INVOICE,True,14,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo2,VISIBLE,13,9,COST_ANALYSIS,True,7,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion3,VISIBLE,52,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Factura 2,VISIBLE,50,7,INVOICE,True,14,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion4 ,VISIBLE,29,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5,VISIBLE,31,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Factura 3,VISIBLE,30,7,INVOICE,True,14,PROCESS
COTIZACIONES_0.2_b68c.xlsx,EJEMPLO COT JORGE,VISIBLE,21,7,QUOTATION,True,9,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (4),VISIBLE,19,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (5),VISIBLE,16,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (6),VISIBLE,15,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (7),VISIBLE,17,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (8),VISIBLE,17,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (9),VISIBLE,14,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (10),VISIBLE,20,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (11),VISIBLE,21,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (12),VISIBLE,38,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (13),VISIBLE,18,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (14),VISIBLE,18,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE1,VISIBLE,50,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE1 (2),VISIBLE,84,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE1 (3),VISIBLE,57,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (15),VISIBLE,26,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (16),VISIBLE,15,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE1 (4),VISIBLE,36,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (17),VISIBLE,25,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (18),VISIBLE,21,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (19),VISIBLE,17,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (20),VISIBLE,24,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (21),VISIBLE,15,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE1 (5),VISIBLE,30,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (22),VISIBLE,18,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (23),VISIBLE,18,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (24),VISIBLE,18,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (25),VISIBLE,14,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (26),VISIBLE,18,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (27),VISIBLE,20,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (28),VISIBLE,24,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE1 (6),VISIBLE,48,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE1 (7),VISIBLE,48,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE1 (8),VISIBLE,70,9,QUOTATION,True,11,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion PROA,VISIBLE,45,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (29),VISIBLE,25,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (30),VISIBLE,18,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE1 (ataud),VISIBLE,54,8,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE,VISIBLE,150,8,QUOTATION,True,14,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE1 (9),VISIBLE,57,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE 9 (2),VISIBLE,21,8,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE (3),VISIBLE,35,5,QUOTATION,True,0,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (31),VISIBLE,17,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE1 (10),VISIBLE,84,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (32),VISIBLE,17,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (33),VISIBLE,14,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (34),VISIBLE,15,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (35),VISIBLE,14,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (36),VISIBLE,56,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (37),VISIBLE,25,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (38),VISIBLE,17,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (39),VISIBLE,14,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (40),VISIBLE,14,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (41),VISIBLE,21,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (42),VISIBLE,27,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (44),VISIBLE,24,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (45),VISIBLE,14,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (46),VISIBLE,14,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE1 (ataud) (2),VISIBLE,54,8,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE1 (11),VISIBLE,70,9,QUOTATION,True,11,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE1 (ataud) (3),VISIBLE,54,8,QUOTATION,True,14,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (47),VISIBLE,14,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (43),VISIBLE,14,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (48),VISIBLE,16,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (49),VISIBLE,33,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Hoja1,VISIBLE,3,1,UNKNOWN,False,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (50),VISIBLE,40,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE1 (ataud) (4),VISIBLE,54,8,QUOTATION,True,14,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (51),VISIBLE,14,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (52),VISIBLE,17,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (53),VISIBLE,20,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (54),VISIBLE,34,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (55),VISIBLE,14,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (56),VISIBLE,14,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (57),VISIBLE,14,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (58),VISIBLE,19,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (59),VISIBLE,15,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cot Reconocimiento de deuda ASD,VISIBLE,30,8,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (61),VISIBLE,24,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (62),VISIBLE,42,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (63),VISIBLE,25,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (64),VISIBLE,24,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (65),VISIBLE,18,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (66),VISIBLE,16,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (67),VISIBLE,14,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (68),VISIBLE,16,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (69),VISIBLE,33,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (70),VISIBLE,18,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (71),VISIBLE,19,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cot Reconocimiento de deuda (2),VISIBLE,30,8,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (60),VISIBLE,26,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (72),VISIBLE,14,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (73),VISIBLE,16,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (74),VISIBLE,22,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (75),VISIBLE,18,7,QUOTATION,True,,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (76),VISIBLE,15,7,QUOTATION,True,14,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion complementaria,VISIBLE,14,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (77),VISIBLE,15,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (78),VISIBLE,22,7,QUOTATION,True,13,PROCESS
COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (79),VISIBLE,16,7,QUOTATION,True,13,PROCESS
