SOURCE_FILE,SOURCE_SHEET,SOURCE_ROW,DOCUMENT_TYPE,RAW_DESCRIPTION,NORMALIZED_DESCRIPTION,QUANTITY,RAW_UNIT_PRICE,PRICE_EXCL_TAX,PRICE_STATUS,IS_SERVICE,IS_FOOD,IS_MEAT,CATEGORY,UOM,IDENTITY_KEY,CURRENCY
COTIZACIONES_0.2_b68c.xlsx,Cotizacion1,15,QUOTATION,Preliminares,preliminares,,,,MISSING_VALID_PRICE,False,False,False,Ferretería,Units,preliminares,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion1,16,QUOTATION,Demolicion,demolicion,1.0,65000.0,65000.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,demolicion,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion1,17,QUOTATION,Bote de Material,bote de material,1.0,25000.0,25000.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,bote|material,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion1,19,QUOTATION,Construccion de Rampa p/Puerta principal,construccion de rampa p/puerta principal,,,,MISSING_VALID_PRICE,False,False,False,Ferretería,Units,construccion|rampa|p/puerta|principal,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion1,20,QUOTATION,Rampa en Hormigon 210 kg/cm2-h:0.20  con malla electrosoldada,rampa en hormigon 210 kg/cm2-h 0.20 con malla electrosoldada,7.0,10500.0,10500.0,RECONCILED_SUBTOTAL,False,False,False,Construcción,m³,rampa|hormigon|210|kg/cm2-h|0.20|malla|electrosoldada|210 kg,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion1,21,QUOTATION,Construccion Acera,construccion acera,,,,MISSING_VALID_PRICE,False,False,False,Ferretería,Units,construccion|acera,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion1,22,QUOTATION,Acera e=0.10m malla electrosold. D2.3 10x10 (Violinada),acera e 0.10m malla electrosold. d2.3 10x10 violinada,3.0,10300.0,10300.0,RECONCILED_SUBTOTAL,False,False,False,Ferretería,m³,acera|e|0.10m|malla|electrosold.|d2.3|10x10|violinada,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion1,23,QUOTATION,Conten pulido de  h=0.20m,conten pulido de h 0.20m,20.0,1000.0,1000.0,RECONCILED_SUBTOTAL,False,False,False,Ferretería,Units,conten|pulido|h|0.20m,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion1,24,QUOTATION,Pisos,pisos,,,,MISSING_VALID_PRICE,False,False,False,Ferretería,Units,pisos,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion1,25,QUOTATION,Porcelanato 60x60 Español,porcelanato 60x60 espanol,175.0,1650.0,1650.0,RECONCILED_SUBTOTAL,False,False,False,Ferretería,m²,porcelanato|60x60|espanol,DOP
