RAW,NORMALIZED,IDENTITY,BRAND,IS_SERVICE,IS_FOOD,IS_MEAT
Preliminares,preliminares,preliminares,,False,False,False
Demolicion,demolicion,demolicion,,True,False,False
Bote de Material,bote de material,bote|material,,True,False,False
Construccion de Rampa p/Puerta principal,construccion de rampa p/puerta principal,construccion|rampa|p/puerta|principal,,False,False,False
Rampa en Hormigon 210 kg/cm2-h:0.20  con malla electrosoldada,rampa en hormigon 210 kg/cm2-h 0.20 con malla electrosoldada,rampa|hormigon|210|kg/cm2-h|0.20|malla|electrosoldada|210 kg,,False,False,False
Construccion Acera,construccion acera,construccion|acera,,False,False,False
Acera e=0.10m malla electrosold. D2.3 10x10 (Violinada),acera e 0.10m malla electrosold. d2.3 10x10 violinada,acera|e|0.10m|malla|electrosold.|d2.3|10x10|violinada,,False,False,False
Conten pulido de  h=0.20m,conten pulido de h 0.20m,conten|pulido|h|0.20m,,False,False,False
Pisos,pisos,pisos,,False,False,False
Porcelanato 60x60 Español,porcelanato 60x60 espanol,porcelanato|60x60|espanol,,False,False,False
Socalo,socalo,socalo,,False,False,False
DIRECCION TECNICA,direccion tecnica,direccion|tecnica,,False,False,False
TRANSPORTE,transporte,transporte,,False,False,False
Preliminares,preliminares,preliminares,,False,False,False
Demolicion,demolicion,demolicion,,True,False,False
Bote de Material,bote de material,bote|material,,True,False,False
Construccion de Rampa p/Puerta principal,construccion de rampa p/puerta principal,construccion|rampa|p/puerta|principal,,False,False,False
Rampa en Hormigon 210 kg/cm2-h:0.20  con malla electrosoldada,rampa en hormigon 210 kg/cm2-h 0.20 con malla electrosoldada,rampa|hormigon|210|kg/cm2-h|0.20|malla|electrosoldada|210 kg,,False,False,False
Construccion Acera,construccion acera,construccion|acera,,False,False,False
Acera e=0.10m malla electrosold. D2.3 10x10 (Violinada),acera e 0.10m malla electrosold. d2.3 10x10 violinada,acera|e|0.10m|malla|electrosold.|d2.3|10x10|violinada,,False,False,False
Conten pulido de  h=0.20m,conten pulido de h 0.20m,conten|pulido|h|0.20m,,False,False,False
Pisos,pisos,pisos,,False,False,False
Porcelanato 60x60 Español,porcelanato 60x60 espanol,porcelanato|60x60|espanol,,False,False,False
Socalo,socalo,socalo,,False,False,False
DIRECCION TECNICA,direccion tecnica,direccion|tecnica,,False,False,False
TRANSPORTE,transporte,transporte,,False,False,False
Volumen Análisis,volumen analisis,volumen|analisis,,False,False,False
Materiales y Equipos,materiales y equipos,materiales|equipos,,False,False,False
Malla Electrosoldada D2.3 10x10mm + 10% desp.,malla electrosoldada d2.3 10x10mm 10% desp.,malla|electrosoldada|d2.3|10x10|mm|10%|desp.,,False,False,False
Hormigón industrial 210Kg/cm2 - 10% desp,hormigon industrial 210kg/cm2 - 10% desp,hormigon|industrial|210|kg/cm2|-|10%|desp|210 kg,,False,False,False
Alambre Dulce No. 18,alambre dulce no. 18,alambre|dulce|no.|18,,False,False,False
Mano de Obra,mano de obra,mano|obra,,True,False,False
Preparación superficie - Ayudante AY,preparacion superficie - ayudante ay,preparacion|superficie|-|ayudante|ay,,True,False,False
Mano de Obra colocación malla,mano de obra colocacion malla,mano|obra|colocacion|malla,,True,False,False
Mano de obra frotado y violinado,mano de obra frotado y violinado,mano|obra|frotado|violinado,,True,False,False
Total/UND,total/und,total/und,,False,False,False
TOTAL/M3,total/m3,total/m3,,False,False,False
Preliminares,preliminares,preliminares,,False,False,False
Demolicion,demolicion,demolicion,,True,False,False
Preparacion de terreno,preparacion de terreno,preparacion|terreno,,True,False,False
Bote de Material,bote de material,bote|material,,True,False,False
Brigada topografica,brigada topografica,brigada|topografica,,True,False,False
Construccion de Rampa y platea p/parqueos  en Hormigon Asfaltico E:0.07,construccion de rampa y platea p/parqueos en hormigon asfaltico e 0.07,construccion|rampa|platea|p/parqueos|hormigon|asfaltico|e|0.07,,False,False,False
Hormigon Asfaltico,hormigon asfaltico,hormigon|asfaltico,,False,False,False
"Construccion Conten, Acera y Platea",construccion conten acera y platea,construccion|conten|acera|platea,,False,False,False
Acera en Hormigon 210 kg/cm2- e=0.10m   (Violinada),acera en hormigon 210 kg/cm2- e 0.10m violinada,acera|hormigon|210|kg/cm2-|e|0.10m|violinada|210 kg,,False,False,False
Conten pulido de  h=0.20m,conten pulido de h 0.20m,conten|pulido|h|0.20m,,False,False,False
Platea en Hormigon 210 kg/cm2-h:0.10  con malla electrosold. D2.3 20x20,platea en hormigon 210 kg/cm2-h 0.10 con malla electrosold. d2.3 20x20,platea|hormigon|210|kg/cm2-h|0.10|malla|electrosold.|d2.3|210 kg,,False,False,False
Construccion Pandereta p/division en Sheetrock,construccion pandereta p/division en sheetrock,construccion|pandereta|p/division|sheetrock,,False,False,False
Pandereta en Sheetrock,pandereta en sheetrock,pandereta|sheetrock,,False,False,False
DIRECCION TECNICA,direccion tecnica,direccion|tecnica,,False,False,False
TRANSPORTE,transporte,transporte,,False,False,False
Preliminares,preliminares,preliminares,,False,False,False
Demolicion,demolicion,demolicion,,True,False,False
Preparacion de terreno,preparacion de terreno,preparacion|terreno,,True,False,False
Bote de Material,bote de material,bote|material,,True,False,False
Brigada topografica,brigada topografica,brigada|topografica,,True,False,False
Construccion de Rampa y platea p/parqueos  en Hormigon Asfaltico E:0.07,construccion de rampa y platea p/parqueos en hormigon asfaltico e 0.07,construccion|rampa|platea|p/parqueos|hormigon|asfaltico|e|0.07,,False,False,False
Hormigon Asfaltico,hormigon asfaltico,hormigon|asfaltico,,False,False,False
"Construccion Conten, Acera y Platea",construccion conten acera y platea,construccion|conten|acera|platea,,False,False,False
Acera en Hormigon 210 kg/cm2- e=0.10m   (Violinada),acera en hormigon 210 kg/cm2- e 0.10m violinada,acera|hormigon|210|kg/cm2-|e|0.10m|violinada|210 kg,,False,False,False
Conten pulido de  h=0.20m,conten pulido de h 0.20m,conten|pulido|h|0.20m,,False,False,False
Platea en Hormigon 210 kg/cm2-h:0.10  con malla electrosold. D2.3 20x20,platea en hormigon 210 kg/cm2-h 0.10 con malla electrosold. d2.3 20x20,platea|hormigon|210|kg/cm2-h|0.10|malla|electrosold.|d2.3|210 kg,,False,False,False
Construccion Pandereta p/division en Sheetrock,construccion pandereta p/division en sheetrock,construccion|pandereta|p/division|sheetrock,,False,False,False
Pandereta en Sheetrock,pandereta en sheetrock,pandereta|sheetrock,,False,False,False
TRANSPORTE,transporte,transporte,,False,False,False
Volumen Análisis,volumen analisis,volumen|analisis,,False,False,False
Materiales y Equipos,materiales y equipos,materiales|equipos,,False,False,False
Malla Electrosoldada D2.3 10x10mm + 10% desp.,malla electrosoldada d2.3 10x10mm 10% desp.,malla|electrosoldada|d2.3|10x10|mm|10%|desp.,,False,False,False
Hormigón industrial 210Kg/cm2 - 10% desp,hormigon industrial 210kg/cm2 - 10% desp,hormigon|industrial|210|kg/cm2|-|10%|desp|210 kg,,False,False,False
Alambre Dulce No. 18,alambre dulce no. 18,alambre|dulce|no.|18,,False,False,False
Mano de Obra,mano de obra,mano|obra,,True,False,False
Preparación superficie - Ayudante AY,preparacion superficie - ayudante ay,preparacion|superficie|-|ayudante|ay,,True,False,False
Mano de Obra colocación malla,mano de obra colocacion malla,mano|obra|colocacion|malla,,True,False,False
Mano de obra frotado y violinado,mano de obra frotado y violinado,mano|obra|frotado|violinado,,True,False,False
Total/UND,total/und,total/und,,False,False,False
TOTAL/M3,total/m3,total/m3,,False,False,False
Preliminares,preliminares,preliminares,,False,False,False
Verificacion y analisis de ploblemas en sistema de congelador y cuarto frio,verificacion y analisis de ploblemas en sistema de congelador y cuarto frio,verificacion|analisis|ploblemas|sistema|congelador|cuarto|frio,,True,False,False
Suministro de limpiador de humedad y limpieza de tuberia de refrigeracion,suministro de limpiador de humedad y limpieza de tuberia de refrigeracion,suministro|limpiador|humedad|limpieza|tuberia|refrigeracion,,True,False,False
Desintalacion y desponte de condensador  de 3 Ton,desintalacion y desponte de condensador de 3 ton,desintalacion|desponte|condensador|3|ton,,True,False,False
Desintacion de compresor de 5 ton,desintacion de compresor de 5 ton,desintacion|compresor|5|ton,,False,False,False
Sistema de Cuarto frio y Congelador,sistema de cuarto frio y congelador,sistema|cuarto|frio|congelador,,False,False,False
"Reparacion,Cambios, Instalaciones, Vacio y  Suministro",reparacion cambios instalaciones vacio y suministro,reparacion|cambios|instalaciones|vacio|suministro,,True,False,False
Cambio de filtro,cambio de filtro,cambio|filtro,,True,False,False
Cambio de Visor,cambio de visor,cambio|visor,,True,False,False
Instalacion de Valvula selenoide,instalacion de valvula selenoide,instalacion|valvula|selenoide,,True,False,False
"Instalacion de sistema digital de termometro, alarma y tiempo de entrada de compresor",instalacion de sistema digital de termometro alarma y tiempo de entrada de compresor,instalacion|sistema|digital|termometro|alarma|tiempo|entrada|compresor,,True,False,False
Instalacion de Luz led p/cuatro de congelador e interruptor,instalacion de luz led p/cuatro de congelador e interruptor,instalacion|luz|led|p/cuatro|congelador|e|interruptor,,True,False,False
Instalacion de cortina en Puerta,instalacion de cortina en puerta,instalacion|cortina|puerta,,True,False,False
Instalacion de temporizador electronico digital Defrost c/6hrs,instalacion de temporizador electronico digital defrost c/6hrs,instalacion|temporizador|electronico|digital|defrost|c/6hrs,,True,False,False
Intalacion de resistencias de descongelamiento de evaporador de cuarto congelador,intalacion de resistencias de descongelamiento de evaporador de cuarto congelador,intalacion|resistencias|descongelamiento|evaporador|cuarto|congelador,,False,False,False
Instalacion de Valvula de expansion,instalacion de valvula de expansion,instalacion|valvula|expansion,,True,False,False
Vacio a sistema de refrigeracion de congelador,vacio a sistema de refrigeracion de congelador,vacio|a|sistema|refrigeracion|congelador,,True,False,False
Suministro de Refigerante R-404,suministro de refigerante r-404,suministro|refigerante|r-404|R-404,,False,False,False
Instalacion  de Aislante tipo bascosel con cinta negra,instalacion de aislante tipo bascosel con cinta negra,instalacion|aislante|tipo|bascosel|cinta|negra,,True,False,False
A/C,a/c,a/c,,False,False,False
Mantenimiento/Hidrolavado,mantenimiento/hidrolavado,mantenimiento/hidrolavado,,False,False,False
A/C split 12 btu,a/c split 12 btu,a/c|split|12|btu,,False,False,False
A/C split 24 btu,a/c split 24 btu,a/c|split|24|btu,,False,False,False
Manejadora de 5ton,manejadora de 5ton,manejadora|5ton,,False,False,False
A/C,a/c,a/c,,False,False,False
Reparacion/Instalacion/Vacio-Suministro,reparacion/instalacion/vacio-suministro,reparacion/instalacion/vacio-suministro,,False,False,False
A/C tipo paquete de 10 Ton,a/c tipo paquete de 10 ton,a/c|tipo|paquete|10|ton,,False,False,False
A/C split 24 btu,a/c split 24 btu,a/c|split|24|btu,,False,False,False
Instalacion de Condensador 3 Ton,instalacion de condensador 3 ton,instalacion|condensador|3|ton,,True,False,False
Instalacion de Compresor de 5 Ton,instalacion de compresor de 5 ton,instalacion|compresor|5|ton,,True,False,False
Vacio a sistema de refrigeracion de Aires,vacio a sistema de refrigeracion de aires,vacio|a|sistema|refrigeracion|aires,,True,False,False
Suministro de Refigerante R-404,suministro de refigerante r-404,suministro|refigerante|r-404|R-404,,False,False,False
Suministro de Refigerante R-22,suministro de refigerante r-22,suministro|refigerante|r-22,,False,False,False
DIRECCION TECNICA,direccion tecnica,direccion|tecnica,,False,False,False
Preliminares,preliminares,preliminares,,False,False,False
Verificacion y analisis de ploblemas en sistema de congelador y cuarto frio,verificacion y analisis de ploblemas en sistema de congelador y cuarto frio,verificacion|analisis|ploblemas|sistema|congelador|cuarto|frio,,True,False,False
Suministro de limpiador de humedad y limpieza de tuberia de refrigeracion,suministro de limpiador de humedad y limpieza de tuberia de refrigeracion,suministro|limpiador|humedad|limpieza|tuberia|refrigeracion,,True,False,False
Desintalacion y desponte de condensador  de 3 Ton,desintalacion y desponte de condensador de 3 ton,desintalacion|desponte|condensador|3|ton,,True,False,False
Desintacion de compresor de 5 ton,desintacion de compresor de 5 ton,desintacion|compresor|5|ton,,False,False,False
Sistema de Cuarto frio y Congelador,sistema de cuarto frio y congelador,sistema|cuarto|frio|congelador,,False,False,False
"Reparacion,Cambios, Instalaciones, Vacio y  Suministro",reparacion cambios instalaciones vacio y suministro,reparacion|cambios|instalaciones|vacio|suministro,,True,False,False
Cambio de filtro,cambio de filtro,cambio|filtro,,True,False,False
Cambio de Visor,cambio de visor,cambio|visor,,True,False,False
Instalacion de Valvula selenoide,instalacion de valvula selenoide,instalacion|valvula|selenoide,,True,False,False
"Instalacion de sistema digital de termometro, alarma y tiempo de entrada de compresor",instalacion de sistema digital de termometro alarma y tiempo de entrada de compresor,instalacion|sistema|digital|termometro|alarma|tiempo|entrada|compresor,,True,False,False
Instalacion de Luz led p/cuatro de congelador e interruptor,instalacion de luz led p/cuatro de congelador e interruptor,instalacion|luz|led|p/cuatro|congelador|e|interruptor,,True,False,False
Instalacion de cortina en Puerta,instalacion de cortina en puerta,instalacion|cortina|puerta,,True,False,False
Instalacion de temporizador electronico digital Defrost c/6hrs,instalacion de temporizador electronico digital defrost c/6hrs,instalacion|temporizador|electronico|digital|defrost|c/6hrs,,True,False,False
Intalacion de resistencias de descongelamiento de evaporador de cuarto congelador,intalacion de resistencias de descongelamiento de evaporador de cuarto congelador,intalacion|resistencias|descongelamiento|evaporador|cuarto|congelador,,False,False,False
Instalacion de Valvula de expansion,instalacion de valvula de expansion,instalacion|valvula|expansion,,True,False,False
Vacio a sistema de refrigeracion de congelador,vacio a sistema de refrigeracion de congelador,vacio|a|sistema|refrigeracion|congelador,,True,False,False
Suministro de Refigerante R-404,suministro de refigerante r-404,suministro|refigerante|r-404|R-404,,False,False,False
Instalacion  de Aislante tipo bascosel con cinta negra,instalacion de aislante tipo bascosel con cinta negra,instalacion|aislante|tipo|bascosel|cinta|negra,,True,False,False
A/C,a/c,a/c,,False,False,False
Mantenimiento/Hidrolavado,mantenimiento/hidrolavado,mantenimiento/hidrolavado,,False,False,False
A/C split 12 btu,a/c split 12 btu,a/c|split|12|btu,,False,False,False
A/C split 24 btu,a/c split 24 btu,a/c|split|24|btu,,False,False,False
Manejadora de 5ton,manejadora de 5ton,manejadora|5ton,,False,False,False
A/C,a/c,a/c,,False,False,False
Reparacion/Instalacion/Vacio-Suministro,reparacion/instalacion/vacio-suministro,reparacion/instalacion/vacio-suministro,,False,False,False
A/C tipo paquete de 10 Ton,a/c tipo paquete de 10 ton,a/c|tipo|paquete|10|ton,,False,False,False
A/C split 24 btu,a/c split 24 btu,a/c|split|24|btu,,False,False,False
Instalacion de Condensador 3 Ton,instalacion de condensador 3 ton,instalacion|condensador|3|ton,,True,False,False
Instalacion de Compresor de 5 Ton,instalacion de compresor de 5 ton,instalacion|compresor|5|ton,,True,False,False
Vacio a sistema de refrigeracion de Aires,vacio a sistema de refrigeracion de aires,vacio|a|sistema|refrigeracion|aires,,True,False,False
Suministro de Refigerante R-404,suministro de refigerante r-404,suministro|refigerante|r-404|R-404,,False,False,False
Suministro de Refigerante R-22,suministro de refigerante r-22,suministro|refigerante|r-22,,False,False,False
DIRECCION TECNICA,direccion tecnica,direccion|tecnica,,False,False,False
A/C PISO TECHO,a/c piso techo,a/c|piso|techo,,False,False,False
"CONSOLA PISO TECHO INVERTE 60,000 BTU",consola piso techo inverte 60 000 btu,consola|piso|techo|inverte|60|000|btu,,False,False,False
"CONDENSADOR INVERTER 60,000 BTU 220/1/60",condensador inverter 60 000 btu 220/1/60,condensador|inverter|60|000|btu|220/1/60|220/1,,False,False,False
A/C SPLIT,a/c split,a/c|split,,False,False,False
LENNOX I3 SEER 12 K BTU,lennox i3 seer 12 k btu,lennox|i3|seer|12|k|btu,,False,False,False
INSTALACION ELECTRICA,instalacion electrica,instalacion|electrica,,True,False,False
A/C DE 5 TON DUCTIABLE,a/c de 5 ton ductiable,a/c|5|ton|ductiable,,False,False,False
"MANEJADORA INVERTER 60,000 BTU",manejadora inverter 60 000 btu,manejadora|inverter|60|000|btu,,False,False,False
"CONDENSADOR INVERTER 60,000 BTU",condensador inverter 60 000 btu,condensador|inverter|60|000|btu,,False,False,False
DISEÑO Y CONSTRUCCION DE DUCTERIA,diseno y construccion de ducteria,diseno|construccion|ducteria,,False,False,False
DIRECCION TECNICA,direccion tecnica,direccion|tecnica,,False,False,False
TRANSPORTE,transporte,transporte,,False,False,False
A/C SPLIT,a/c split,a/c|split,,False,False,False
LENNOX I3 SEER 12 K BTU,lennox i3 seer 12 k btu,lennox|i3|seer|12|k|btu,,False,False,False
INSTALACION ELECTRICA,instalacion electrica,instalacion|electrica,,True,False,False
"REPARACION DE BOMBA E INSTALACION ELECTRICA, CAMBIO DE TUBERIA P/AIRE Y SUSTITUCION DE CABLE ELECTRICO",reparacion de bomba e instalacion electrica cambio de tuberia p/aire y sustitucion de cable electrico,reparacion|bomba|e|instalacion|electrica|cambio|tuberia|p/aire,,True,False,False
EMBOBINADO DE MOTOR DE BOMBA DE AGUA PEDROLLO MOD. CP-680A     10 HP 220 VOLTIOS 3 PHASES 60 HZ.  CON ALAMBRE DE COBRE AMERICANO MARCA BNTECHGO NEMA MW-80C,embobinado de motor de bomba de agua pedrollo mod. cp-680a 10 hp 220 voltios 3 phases 60 hz. con alambre de cobre americano marca bntechgo nema mw-80c,embobinado|motor|bomba|agua|pedrollo|mod.|cp-680a|10|CP-680A,Cano,False,False,False
RODAMIENTO C-6206 Z DE ALTA TEMPERATURA SKF,rodamiento c-6206 z de alta temperatura skf,rodamiento|c-6206|z|alta|temperatura|skf|C-6206,,False,False,False
CAMBIO DE IMPELLER,cambio de impeller,cambio|impeller,,True,False,False
ABANICO DE BOMBA PEDROLLO CP-680A,abanico de bomba pedrollo cp-680a,abanico|bomba|pedrollo|cp-680a|CP-680A,,False,False,False
ACONDICIONAMIENTO DE BOMBA DE AGUA CON PINTURA INDUSTRIAL,acondicionamiento de bomba de agua con pintura industrial,acondicionamiento|bomba|agua|pintura|industrial,,False,False,False
INSTALACION DE SISTEMA DE ELECTRICIDAD EN PANEL PARA ENERGIZAR  LAS BOMBAS DE AGUA,instalacion de sistema de electricidad en panel para energizar las bombas de agua,instalacion|sistema|electricidad|panel|para|energizar|bombas|agua,,True,False,False
CAMBIO DE TUBERIAS  Y FILTRO PARA AIRE DE 5 TON,cambio de tuberias y filtro para aire de 5 ton,cambio|tuberias|filtro|para|aire|5|ton,,True,False,False
SUSTITUCION DE CALBLES ELECTRICO #4 POR 1/0 EN LINEA DE ALIMENTACION DEL EDIF DE VIH,sustitucion de calbles electrico 4 por 1/0 en linea de alimentacion del edif de vih,sustitucion|calbles|electrico|4|por|1/0|linea|alimentacion|1/0,,False,False,False
DIRECCION TECNICA,direccion tecnica,direccion|tecnica,,False,False,False
TRANSPORTE,transporte,transporte,,False,False,False
A/C SPLIT,a/c split,a/c|split,,False,False,False
LENNOX I3 SEER 12 K BTU,lennox i3 seer 12 k btu,lennox|i3|seer|12|k|btu,,False,False,False
INSTALACION ELECTRICA,instalacion electrica,instalacion|electrica,,True,False,False
"REPARACION DE BOMBA E INSTALACION ELECTRICA, CAMBIO DE TUBERIA P/AIRE Y SUSTITUCION DE CABLE ELECTRICO",reparacion de bomba e instalacion electrica cambio de tuberia p/aire y sustitucion de cable electrico,reparacion|bomba|e|instalacion|electrica|cambio|tuberia|p/aire,,True,False,False
