CANONICAL_ID,CANONICAL_NAME,TYPE,CATEGORY,UOM,BRAND,MODEL,SPECIFICATION,IS_FOOD,IS_MEAT,IS_SERVICE,COMPANY_SCOPE,CURRENT_ODOO_PRODUCT_ID,CURRENT_ODOO_NAME,CURRENT_LIST_PRICE,HISTORICAL_OCCURRENCES,HISTORICAL_MIN_PRICE,HISTORICAL_MAX_PRICE,FINAL_LIST_PRICE,MATCH_TYPE,SOURCE_FILES_COUNT,SOURCE_SHEETS_COUNT,ACTION,REVIEW_REASON,PRICE_RULE,MAX_PRICE_SOURCE_FILE,MAX_PRICE_SOURCE_SHEET,MAX_PRICE_SOURCE_ROW,MAX_PRICE_DOCUMENT_TYPE,MAX_PRICE_DESCRIPTION,MAX_PRICE_QTY,MAX_PRICE_UNIT_EXCL,MAX_PRICE_CURRENCY,IDENTITY_KEY,SOURCE_FILES
AG-0077,TAPE VINIL SCOTCH 3M SUPER33,consu,Ferretería,Units,,SUPER33,model=SUPER33,False,False,False,SHARED,100,TAPE VINIL SCOTCH 3M SUPER33+,1375.0,8,525.0,1658.0,1658.0,EXACT_MATCH,4,7,REUSE_UPDATE_PRICE,,MAX,COTIZACIONES__REMPART_GROUP_2_3578.xlsx,COT RECONOCIMIENTO DE DEUDA (4),23,QUOTATION,TAPE VINIL SCOTCH 3M SUPER33+,1.0,1658.0,DOP,tape|vinil|scotch|3m|super33|SUPER33,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx | COTIZACIONES_DORALEX_f72a.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx
AG-0147,Alambre De Goma 10/2 Awg,consu,Neumáticos,Units,,,caliber=10/2,False,False,False,SHARED,94,ALAMBRE DE GOMA 10/2 AWG,105.0,6,55.0,113.0,113.0,EXACT_MATCH,3,6,REUSE_UPDATE_PRICE,,MAX,COTIZACIONES__REMPART_GROUP_2_3578.xlsx,COT RECONOCIMIENTO DE DEUDA (4),17,QUOTATION,ALAMBRE DE GOMA 10/2 AWG,200.0,113.0,DOP,alambre|goma|10/2|awg|10/2,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx
AG-0289,PERFIL 2X3 GALV.,consu,Ferretería,Units,,,,False,False,False,SHARED,50,PERFIL 2X3 GALV.,2529.92,7,2529.92,2630.02,2630.02,EXACT_MATCH,2,7,REUSE_UPDATE_PRICE,,MAX,COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE1 (6),23,QUOTATION,PERFIL 2X3 GALV.,4.0,2630.02,DOP,perfil|2x3|galv.,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx
AG-0291,PERFIL 1 1/2 H.GALV.1.6,consu,Ferretería,Units,,,caliber=1/2,False,False,False,SHARED,53,PERFIL 1 1/2 H.GALV.1.6,1390.0,9,1390.0,1680.0,1680.0,EXACT_MATCH,3,9,REUSE_UPDATE_PRICE,,MAX,COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE1 (6),25,QUOTATION,PERFIL 1 1/2 H.GALV.1.6,5.0,1680.0,DOP,perfil|1|1/2|h.galv.1.6|1/2,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx
AG-0293,GUIAS PLAST- 40X60MM,consu,Ferretería,Units,,,,False,False,False,SHARED,51,GUIAS PLAST- 40X60MM,260.0,7,260.0,285.0,285.0,EXACT_MATCH,2,7,REUSE_UPDATE_PRICE,,MAX,COTIZACIONES_0.2_b68c.xlsx,Cotizacion ASDE1 (6),27,QUOTATION,GUIAS PLAST- 40X60MM,3.0,285.0,DOP,guias|plast-|40x60|mm,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx
AG-0605,Pintura Acrilica PARA Exterior BLANCA 50 Popular,consu,Pinturas,Units,,,,False,False,False,SHARED,47,PINTURA ACRILICA PARA EXTERIOR BLANCA 50 POPULAR,8050.0,1,9352.5,9352.5,9352.5,EXACT_MATCH,1,1,REUSE_UPDATE_PRICE,,SINGLE,COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (42),15,QUOTATION,PINTURA ACRILICA PARA EXTERIOR BLANCA 50   POPULAR,14.0,9352.5,DOP,pintura|acrilica|para|exterior|blanca|50|popular,COTIZACIONES_0.2_b68c.xlsx
AG-0616,Thinner Tropical,consu,Pinturas,Units,Tropical,,,False,False,False,SHARED,63,THINNER TROPICAL,692.0,2,692.0,755.0,755.0,EXACT_MATCH,2,2,REUSE_UPDATE_PRICE,,MAX,COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (42),28,QUOTATION,THINNER  TROPICAL,10.0,755.0,DOP,thinner|tropical,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx
AG-0618,Pintura Acrilica Naranja Positivo Popular Pro/tropical,consu,Pinturas,Units,Tropical,,,False,False,False,SHARED,40,PINTURA ACRILICA NARANJA POSITIVO POPULAR PRO/TROPICAL,2386.5,5,2386.5,2386.5,2386.5,EXACT_MATCH,1,5,REUSE_NO_CHANGE,,MAX,COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (44),16,QUOTATION,PINTURA ACRILICA NARANJA POSITIVO POPULAR PRO/TROPICAL,60.0,2386.5,DOP,pintura|acrilica|naranja|positivo|popular|pro/tropical,COTIZACIONES_0.2_b68c.xlsx
AG-0620,Pintura Acrilica VERDE Positivo Tropical/popular PRO,consu,Pinturas,Units,Tropical,,,False,False,False,SHARED,42,PINTURA ACRILICA VERDE POSITIVO TROPICAL/POPULAR PRO,2386.5,5,2386.5,2386.5,2386.5,EXACT_MATCH,1,5,REUSE_NO_CHANGE,,MAX,COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (44),18,QUOTATION,PINTURA ACRILICA VERDE POSITIVO TROPICAL/POPULAR PRO,60.0,2386.5,DOP,pintura|acrilica|verde|positivo|tropical/popular|pro,COTIZACIONES_0.2_b68c.xlsx
AG-0621,Pintura Acrilica AZUL Positivo Popular PRO /tropical,consu,Pinturas,Units,Tropical,,,False,False,False,SHARED,43,PINTURA ACRILICA AZUL POSITIVO POPULAR PRO /TROPICAL,2386.5,5,2386.5,2386.5,2386.5,EXACT_MATCH,1,5,REUSE_NO_CHANGE,,MAX,COTIZACIONES_0.2_b68c.xlsx,Cotizacion 5 (44),19,QUOTATION,PINTURA ACRILICA AZUL POSITIVO POPULAR PRO /TROPICAL,60.0,2386.5,DOP,pintura|acrilica|azul|positivo|popular|pro|/tropical,COTIZACIONES_0.2_b68c.xlsx
