CANONICAL_ID,CANONICAL_NAME,TYPE,CATEGORY,UOM,BRAND,MODEL,SPECIFICATION,IS_FOOD,IS_MEAT,IS_SERVICE,COMPANY_SCOPE,CURRENT_ODOO_PRODUCT_ID,CURRENT_ODOO_NAME,CURRENT_LIST_PRICE,HISTORICAL_OCCURRENCES,HISTORICAL_MIN_PRICE,HISTORICAL_MAX_PRICE,FINAL_LIST_PRICE,MATCH_TYPE,SOURCE_FILES_COUNT,SOURCE_SHEETS_COUNT,ACTION,REVIEW_REASON,PRICE_RULE,MAX_PRICE_SOURCE_FILE,MAX_PRICE_SOURCE_SHEET,MAX_PRICE_SOURCE_ROW,MAX_PRICE_DOCUMENT_TYPE,MAX_PRICE_DESCRIPTION,MAX_PRICE_QTY,MAX_PRICE_UNIT_EXCL,MAX_PRICE_CURRENCY,IDENTITY_KEY,SOURCE_FILES
AG-1568,CARNE DE RES,consu,Carnes,lb,,,,False,True,False,PINARIA,,,,54,225.0,225.0,225.0,NEW_PRODUCT,3,46,CREATE_PIÑARIA_PRODUCT,,MAX,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx,FACTURA JULIO HOSPITAL MATERNO,23,INVOICE,CARNE DE RES,500.0,225.0,DOP,carne|res,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-1569,POLLO ENTERO,consu,Carnes,lb,,,,False,True,False,PINARIA,,,,17,,,,NEW_PRODUCT,3,7,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,pollo|entero,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-1570,SALAMI Induveca 3.5/1,consu,Carnes,Units,,,caliber=5/1,False,True,False,PINARIA,,,,3,,,,NEW_PRODUCT,3,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,salami|induveca|3.5/1|5/1,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-1571,Chuleta,consu,Carnes,lb,,,,False,True,False,PINARIA,,,,28,105.0,105.0,105.0,NEW_PRODUCT,3,22,CREATE_PIÑARIA_PRODUCT,,SINGLE,COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx,Hoja1,6,QUOTATION,CHULETA,,105.0,DOP,chuleta,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-1572,RES MOLIDA,consu,Carnes,lb,,,,False,True,False,PINARIA,,,,34,230.0,230.0,230.0,NEW_PRODUCT,3,24,CREATE_PIÑARIA_PRODUCT,,MAX,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx,FACTURA JULIO HOSPITAL MATERNO,24,INVOICE,RES MOLIDA,350.0,230.0,DOP,res|molida,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-1573,Costilla,consu,Carnes,lb,,,,False,True,False,PINARIA,,,,9,200.0,200.0,200.0,NEW_PRODUCT,3,5,CREATE_PIÑARIA_PRODUCT,,MAX,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx,FACTURA JULIO HOSPITAL MATERNO,19,INVOICE,COSTILLA,200.0,200.0,DOP,costilla,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-1576,Chuleta Ahumada,consu,Carnes,lb,,,,False,True,False,PINARIA,,,,30,,,,NEW_PRODUCT,3,27,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,chuleta|ahumada,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-1577,Chuleta FRESCA Rebanada,consu,Carnes,lb,,,,False,True,False,PINARIA,,,,4,195.0,195.0,195.0,NEW_PRODUCT,3,2,CREATE_PIÑARIA_PRODUCT,,MAX,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx,FACTURA JULIO HOSPITAL MATERNO,17,INVOICE,CHULETA FRESCA REBANADA,150.0,195.0,DOP,chuleta|fresca|rebanada,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-1578,CARNE DE CERDO,consu,Carnes,lb,,,,False,True,False,PINARIA,,,,49,200.0,200.0,200.0,NEW_PRODUCT,3,45,CREATE_PIÑARIA_PRODUCT,,MAX,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx,FACTURA JULIO HOSPITAL MATERNO,21,INVOICE,CARNE DE CERDO,200.0,200.0,DOP,carne|cerdo,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-1579,POLLO ENTERO Descongelado,consu,Carnes,lb,,,,False,True,False,PINARIA,,,,12,150.0,150.0,150.0,NEW_PRODUCT,3,10,CREATE_PIÑARIA_PRODUCT,,MAX,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx,FACTURA JULIO HOSPITAL MATERNO,22,INVOICE,POLLO ENTERO DESCONGELADO,2000.0,150.0,DOP,pollo|entero|descongelado,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-1580,RES Deshuesada,consu,Carnes,lb,,,,False,True,False,PINARIA,,,,3,270.0,270.0,270.0,NEW_PRODUCT,3,1,CREATE_PIÑARIA_PRODUCT,,MAX,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx,FACTURA JULIO HOSPITAL MATERNO,25,INVOICE,RES DESHUESADA,,270.0,DOP,res|deshuesada,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
AG-1581,QUESO BLANCO,consu,Alimentos,Units,,,,True,False,False,PINARIA,,,,1,,,,NEW_PRODUCT,1,1,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,queso|blanco,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx
AG-1582,QUESO Amarillo,consu,Alimentos,Units,,,,True,False,False,PINARIA,,,,2,,,,NEW_PRODUCT,2,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,queso|amarillo,COTIZACIONES__DOMINION_BUSINESS_18aa.xlsx | COTIZACIONES___2023-2024_PIN_ARIAS_2_fddc.xlsx
