CANONICAL_ID,CANONICAL_NAME,TYPE,CATEGORY,UOM,BRAND,MODEL,SPECIFICATION,IS_FOOD,IS_MEAT,IS_SERVICE,COMPANY_SCOPE,CURRENT_ODOO_PRODUCT_ID,CURRENT_ODOO_NAME,CURRENT_LIST_PRICE,HISTORICAL_OCCURRENCES,HISTORICAL_MIN_PRICE,HISTORICAL_MAX_PRICE,FINAL_LIST_PRICE,MATCH_TYPE,SOURCE_FILES_COUNT,SOURCE_SHEETS_COUNT,ACTION,REVIEW_REASON,PRICE_RULE,MAX_PRICE_SOURCE_FILE,MAX_PRICE_SOURCE_SHEET,MAX_PRICE_SOURCE_ROW,MAX_PRICE_DOCUMENT_TYPE,MAX_PRICE_DESCRIPTION,MAX_PRICE_QTY,MAX_PRICE_UNIT_EXCL,MAX_PRICE_CURRENCY,IDENTITY_KEY,SOURCE_FILES
AG-0001,Preliminares,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,15,,,,NEW_PRODUCT,2,8,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,preliminares,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_b089.xlsx
AG-0002,Servicios profesionales,service,Servicios,Units,,,,False,False,True,SHARED,,,,220,3.0,,0.0,NEW_PRODUCT,7,38,MAP_TO_SERVICIOS_PROFESIONALES,PRICE_OUTLIER_REVIEW,PRICE_OUTLIER_REVIEW,,,,,,,,,SERVICE::profesional,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx | COTIZACIONES_DORALEX_f72a.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx | COTIZACIONES_b089.xlsx | COT_95d1.xlsx | FORMATO_DE_COTIZACION_2_21f4.xlsx
AG-0003,Construccion De Rampa P/puerta Principal,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,4,,,,NEW_PRODUCT,2,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,construccion|rampa|p/puerta|principal,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_b089.xlsx
AG-0004,Rampa En Hormigon 210 Kg/cm2-h:0.20 Con Malla Electrosoldada,consu,Construcción,m³,,,presentation=210 kg,False,False,False,SHARED,,,,4,10500.0,10500.0,10500.0,NEW_PRODUCT,2,2,CREATE_SHARED_PRODUCT,,MAX,COTIZACIONES_0.2_b68c.xlsx,Cotizacion1,20,QUOTATION,Rampa en Hormigon 210 kg/cm2-h:0.20  con malla electrosoldada,7.0,10500.0,DOP,rampa|hormigon|210|kg/cm2-h|0.20|malla|electrosoldada|210 kg,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_b089.xlsx
AG-0005,Construccion Acera,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,4,,,,NEW_PRODUCT,2,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,construccion|acera,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_b089.xlsx
AG-0006,Acera E=0.10m Malla Electrosold. D2.3 10x10 (violinada),consu,Ferretería,m³,,,,False,False,False,SHARED,,,,4,10300.0,10300.0,10300.0,NEW_PRODUCT,2,2,CREATE_SHARED_PRODUCT,,MAX,COTIZACIONES_0.2_b68c.xlsx,Cotizacion1,22,QUOTATION,Acera e=0.10m malla electrosold. D2.3 10x10 (Violinada),3.0,10300.0,DOP,acera|e|0.10m|malla|electrosold.|d2.3|10x10|violinada,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_b089.xlsx
AG-0007,Conten Pulido De H=0.20m,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,8,1000.0,1200.0,1200.0,NEW_PRODUCT,2,4,CREATE_SHARED_PRODUCT,,MAX,COTIZACIONES_0.2_b68c.xlsx,Cotizacion2,25,QUOTATION,Conten pulido de  h=0.20m,8.0,1200.0,DOP,conten|pulido|h|0.20m,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_b089.xlsx
AG-0008,Pisos,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,4,,,,NEW_PRODUCT,2,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,pisos,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_b089.xlsx
AG-0009,Porcelanato 60x60 Español,consu,Ferretería,m²,,,,False,False,False,SHARED,,,,4,1650.0,1650.0,1650.0,NEW_PRODUCT,2,2,CREATE_SHARED_PRODUCT,,MAX,COTIZACIONES_0.2_b68c.xlsx,Cotizacion1,25,QUOTATION,Porcelanato 60x60 Español,175.0,1650.0,DOP,porcelanato|60x60|espanol,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_b089.xlsx
AG-0010,Socalo,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,4,400.0,400.0,400.0,NEW_PRODUCT,2,2,CREATE_SHARED_PRODUCT,,MAX,COTIZACIONES_0.2_b68c.xlsx,Cotizacion1,26,QUOTATION,Socalo,60.0,400.0,DOP,socalo,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_b089.xlsx
AG-0011,Direccion Tecnica,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,21,3305.993,,,NEW_PRODUCT,3,12,MANUAL_REVIEW,PRICE_OUTLIER_REVIEW;MISSING_VALID_PRICE,PRICE_OUTLIER_REVIEW,,,,,,,,,direccion|tecnica,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx | COTIZACIONES_b089.xlsx
AG-0012,Transporte,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,22,3305.993,,,NEW_PRODUCT,5,13,MANUAL_REVIEW,PRICE_OUTLIER_REVIEW;MISSING_VALID_PRICE,PRICE_OUTLIER_REVIEW,,,,,,,,,transporte,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx | COTIZACIONES_DORALEX_f72a.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx | COTIZACIONES_b089.xlsx
AG-0013,Volumen Análisis,consu,Ferretería,m³,,,,False,False,False,SHARED,,,,6,,,,NEW_PRODUCT,4,3,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,volumen|analisis,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx | COTIZACIONES_DORALEX_f72a.xlsx | COTIZACIONES_b089.xlsx
AG-0014,Materiales Y Equipos,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,6,,,,NEW_PRODUCT,4,3,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,materiales|equipos,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx | COTIZACIONES_DORALEX_f72a.xlsx | COTIZACIONES_b089.xlsx
AG-0015,Malla Electrosoldada D2.3 10x10mm + 10% Desp.,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,6,,,,NEW_PRODUCT,4,3,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,malla|electrosoldada|d2.3|10x10|mm|10%|desp.,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx | COTIZACIONES_DORALEX_f72a.xlsx | COTIZACIONES_b089.xlsx
AG-0016,Hormigón Industrial 210kg/cm2 - 10% Desp,consu,Construcción,m³,,,presentation=210 kg,False,False,False,SHARED,,,,6,,,,NEW_PRODUCT,4,3,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,hormigon|industrial|210|kg/cm2|-|10%|desp|210 kg,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx | COTIZACIONES_DORALEX_f72a.xlsx | COTIZACIONES_b089.xlsx
AG-0017,Alambre Dulce No. 18,consu,Ferretería,lb,,,,False,False,False,SHARED,,,,6,,,,NEW_PRODUCT,4,3,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,alambre|dulce|no.|18,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx | COTIZACIONES_DORALEX_f72a.xlsx | COTIZACIONES_b089.xlsx
AG-0018,Total/und,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,6,,,,NEW_PRODUCT,4,3,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,total/und,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx | COTIZACIONES_DORALEX_f72a.xlsx | COTIZACIONES_b089.xlsx
AG-0019,TOTAL/M3,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,6,,,,NEW_PRODUCT,4,3,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,total/m3,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx | COTIZACIONES_DORALEX_f72a.xlsx | COTIZACIONES_b089.xlsx
