CANONICAL_ID,CANONICAL_NAME,TYPE,CATEGORY,UOM,BRAND,MODEL,SPECIFICATION,IS_FOOD,IS_MEAT,IS_SERVICE,COMPANY_SCOPE,CURRENT_ODOO_PRODUCT_ID,CURRENT_ODOO_NAME,CURRENT_LIST_PRICE,HISTORICAL_OCCURRENCES,HISTORICAL_MIN_PRICE,HISTORICAL_MAX_PRICE,FINAL_LIST_PRICE,MATCH_TYPE,SOURCE_FILES_COUNT,SOURCE_SHEETS_COUNT,ACTION,REVIEW_REASON,PRICE_RULE,MAX_PRICE_SOURCE_FILE,MAX_PRICE_SOURCE_SHEET,MAX_PRICE_SOURCE_ROW,MAX_PRICE_DOCUMENT_TYPE,MAX_PRICE_DESCRIPTION,MAX_PRICE_QTY,MAX_PRICE_UNIT_EXCL,MAX_PRICE_CURRENCY,IDENTITY_KEY,SOURCE_FILES
AG-0001,Preliminares,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,15,,,,NEW_PRODUCT,2,8,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,preliminares,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_b089.xlsx
AG-0003,Construccion De Rampa P/puerta Principal,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,4,,,,NEW_PRODUCT,2,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,construccion|rampa|p/puerta|principal,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_b089.xlsx
AG-0005,Construccion Acera,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,4,,,,NEW_PRODUCT,2,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,construccion|acera,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_b089.xlsx
AG-0008,Pisos,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,4,,,,NEW_PRODUCT,2,2,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,pisos,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_b089.xlsx
AG-0011,Direccion Tecnica,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,21,3305.993,,,NEW_PRODUCT,3,12,MANUAL_REVIEW,PRICE_OUTLIER_REVIEW;MISSING_VALID_PRICE,PRICE_OUTLIER_REVIEW,,,,,,,,,direccion|tecnica,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx | COTIZACIONES_b089.xlsx
AG-0012,Transporte,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,22,3305.993,,,NEW_PRODUCT,5,13,MANUAL_REVIEW,PRICE_OUTLIER_REVIEW;MISSING_VALID_PRICE,PRICE_OUTLIER_REVIEW,,,,,,,,,transporte,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx | COTIZACIONES_DORALEX_f72a.xlsx | COTIZACIONES__REMPART_GROUP_2_3578.xlsx | COTIZACIONES_b089.xlsx
AG-0013,Volumen Análisis,consu,Ferretería,m³,,,,False,False,False,SHARED,,,,6,,,,NEW_PRODUCT,4,3,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,volumen|analisis,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx | COTIZACIONES_DORALEX_f72a.xlsx | COTIZACIONES_b089.xlsx
AG-0014,Materiales Y Equipos,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,6,,,,NEW_PRODUCT,4,3,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,materiales|equipos,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx | COTIZACIONES_DORALEX_f72a.xlsx | COTIZACIONES_b089.xlsx
AG-0015,Malla Electrosoldada D2.3 10x10mm + 10% Desp.,consu,Ferretería,Units,,,,False,False,False,SHARED,,,,6,,,,NEW_PRODUCT,4,3,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,malla|electrosoldada|d2.3|10x10|mm|10%|desp.,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx | COTIZACIONES_DORALEX_f72a.xlsx | COTIZACIONES_b089.xlsx
AG-0016,Hormigón Industrial 210kg/cm2 - 10% Desp,consu,Construcción,m³,,,presentation=210 kg,False,False,False,SHARED,,,,6,,,,NEW_PRODUCT,4,3,MANUAL_REVIEW,MISSING_VALID_PRICE,NO_PRICE,,,,,,,,,hormigon|industrial|210|kg/cm2|-|10%|desp|210 kg,COTIZACIONES_0.2_b68c.xlsx | COTIZACIONES_DORALEX_SRL_bb53.xlsx | COTIZACIONES_DORALEX_f72a.xlsx | COTIZACIONES_b089.xlsx
