PRODUCT,CURRENT_ODOO_PRICE,HISTORICAL_MIN,HISTORICAL_MAX,FINAL_PRICE,SOURCE_OF_MAX,ACTION,PASS
Conten Pulido De H=0.20m,,1000.0,1200.0,1200.0,COTIZACIONES_0.2_b68c.xlsx|Cotizacion2|r25,CREATE_SHARED_PRODUCT,PASS
A/C Split 24 Btu,,5000.0,6000.0,6000.0,COTIZACIONES_0.2_b68c.xlsx|Cotizacion3|r43,CREATE_SHARED_PRODUCT,PASS
LENNOX I3 SEER 12 K BTU,,61850.0,65000.0,65000.0,COTIZACIONES_0.2_b68c.xlsx|Cotizacion 5|r16,CREATE_SHARED_PRODUCT,PASS
Embobinado DE MOTOR DE BOMBA DE AGUA Pedrollo MOD. CP-680A 10 HP 220 Voltios 3 PHASES 60,,20000.0,25000.0,25000.0,COTIZACIONES_0.2_b68c.xlsx|Cotizacion 5|r20,CREATE_SHARED_PRODUCT,PASS
Roseta Porcelana Leviton,,230.0,325.0,325.0,COTIZACIONES_0.2_b68c.xlsx|Cotizacion ASDE1 (6)|r36,CREATE_SHARED_PRODUCT,PASS
Pintura Popular Ext-int PRO ARENA 23,,2386.5,11932.5,11932.5,COTIZACIONES_DORALEX_SRL_bb53.xlsx|Cotizacion (75)|r20,CREATE_SHARED_PRODUCT,PASS
Pintura Tropical Contractor NEGRO 53 Positivo,,2386.0,10932.5,10932.5,COTIZACIONES_0.2_b68c.xlsx|Cotizacion 5 (41)|r20,CREATE_SHARED_PRODUCT,PASS
Varilla 1/2,,4233.65,110325.62,110325.62,COTIZACIONES__REMPART_GROUP_2_3578.xlsx|COT ASDE (32)|r18,CREATE_SHARED_PRODUCT,PASS
Pintura Acrilica ROJO Positvo Popular,,11790.13,12529.13,12529.13,COTIZACIONES_0.2_b68c.xlsx|Cotizacion 5 (19)|r15,CREATE_SHARED_PRODUCT,PASS
Pintura Acrilica AZUL Positvo Popular,,2386.5,12529.13,12529.13,COTIZACIONES_0.2_b68c.xlsx|Cotizacion 5 (19)|r16,CREATE_SHARED_PRODUCT,PASS
Pintura Acrilica BLANCA Popular 50,,6352.5,11932.5,11932.5,COTIZACIONES_0.2_b68c.xlsx|Cotizacion 5 (7)|r17,CREATE_SHARED_PRODUCT,PASS
Pintura ALTO Transito (amarillo Trafico) Popular,,14100.75,18453.75,18453.75,COTIZACIONES_0.2_b68c.xlsx|Cotizacion 5 (19)|r18,CREATE_SHARED_PRODUCT,PASS
Alambre #10 AWG,,37.5,39.2,39.2,COTIZACIONES_0.2_b68c.xlsx|Cotizacion ASDE1 (6)|r40,CREATE_SHARED_PRODUCT,PASS
TAPE VINIL SCOTCH 3M SUPER33,1375.0,525.0,1658.0,1658.0,COTIZACIONES__REMPART_GROUP_2_3578.xlsx|COT RECONOCIMIENTO DE DEUDA (4)|r23,REUSE_UPDATE_PRICE,PASS
CAJA Breaker GE 2 A 4,,3300.0,4300.0,4300.0,COTIZACIONES_0.2_b68c.xlsx|Cotizacion 5 (11)|r18,CREATE_SHARED_PRODUCT,PASS
MOTAS Antigotas 9'' EM,,160.0,180.0,180.0,COTIZACIONES_0.2_b68c.xlsx|Cotizacion 5 (12)|r29,CREATE_SHARED_PRODUCT,PASS
Pl Mdf 1/2 Hidrofugo Brazil Duratex,,1700.5,2550.0,2550.0,COTIZACIONES_0.2_b68c.xlsx|Cotizacion ASDE1|r18,CREATE_SHARED_PRODUCT,PASS
Barra Agarradera Para Ataud 6 1/2 Pies,,1900.0,2310.0,2310.0,COTIZACIONES_DORALEX_SRL_bb53.xlsx|Cotizacion (68)|r22,CREATE_SHARED_PRODUCT,PASS
Cola Amarilla Universal (105 Oz),,1080.0,1995.0,1995.0,COTIZACIONES_0.2_b68c.xlsx|Cotizacion ASDE1 (ataud)|r20,CREATE_SHARED_PRODUCT,PASS
Cristal 16x12 De 3/16,,499.5,510.0,510.0,COTIZACIONES_0.2_b68c.xlsx|Cotizacion ASDE1 (ataud) (2)|r43,CREATE_SHARED_PRODUCT,PASS
Sealer Tropical (6158),,1185.0,2125.0,2125.0,COTIZACIONES_0.2_b68c.xlsx|Cotizacion ASDE1 (ataud)|r26,CREATE_SHARED_PRODUCT,PASS
Barpicolor 605 1LT Caoba #2 MD Barpimo,,1350.45,3350.0,3350.0,COTIZACIONES_0.2_b68c.xlsx|Cotizacion ASDE1 (ataud)|r27,CREATE_SHARED_PRODUCT,PASS
Barpicolor 605 1LT Caoba #3 MD Barpimo,,1350.45,3350.0,3350.0,COTIZACIONES_0.2_b68c.xlsx|Cotizacion ASDE1 (ataud)|r28,CREATE_SHARED_PRODUCT,PASS
1/4 Pasta Acrilica Cano (32 OZ),,560.0,790.0,790.0,COTIZACIONES_0.2_b68c.xlsx|Cotizacion ASDE1 (ataud)|r46,CREATE_SHARED_PRODUCT,PASS
