DESCRIPTION,FOOD,MEAT,EXISTING_PRODUCT,EXISTING_ID,VALID_PRICE,CREATED,REVIEW_REASON,PHASE2_MATCH
CARNE DE RES,False,True,CARNE DE RES,1313,225.0,True,CREATE_PIÑARIA_PRODUCT,MATCH_EXISTING_EXACT
POLLO ENTERO,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
SALAMI Induveca 3.5/1,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Chuleta,False,True,Chuleta,1314,105.0,True,CREATE_PIÑARIA_PRODUCT,MATCH_EXISTING_EXACT
RES MOLIDA,False,True,RES MOLIDA,1315,230.0,True,CREATE_PIÑARIA_PRODUCT,MATCH_EXISTING_EXACT
Costilla,False,True,Costilla,1316,200.0,True,CREATE_PIÑARIA_PRODUCT,MATCH_EXISTING_EXACT
Chuleta Ahumada,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Chuleta FRESCA Rebanada,False,True,Chuleta FRESCA Rebanada,1317,195.0,True,CREATE_PIÑARIA_PRODUCT,MATCH_EXISTING_EXACT
CARNE DE CERDO,False,True,CARNE DE CERDO,1318,200.0,True,CREATE_PIÑARIA_PRODUCT,MATCH_EXISTING_EXACT
POLLO ENTERO Descongelado,False,True,POLLO ENTERO Descongelado,1319,150.0,True,CREATE_PIÑARIA_PRODUCT,MATCH_EXISTING_EXACT
RES Deshuesada,False,True,RES Deshuesada,1320,270.0,True,CREATE_PIÑARIA_PRODUCT,MATCH_EXISTING_EXACT
QUESO BLANCO,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
QUESO Amarillo,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
QUESO GOUDA,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
QUESO Mozarella,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
HUEVO,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Pechuga DE POLLO 50/1 LB,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
MUSLO DE POLLO,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
HUEVOS 30/1,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
JAMON 6/1,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
JAMON DE PAVO,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
SALAMI 3.2/1LB,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
QUESO Amarillo 5/1,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
SALAMI 3.2/1 LB,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
POLLOS Enteros C/U 4 LIBRA,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
LIBRAS DE RES MOLIDA,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Costilla Ahumada,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
POLLO,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
POLLO ENTERO C/U 4LIBRA,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
LIBRA DE POLLO,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
LIBRA DE CARNE RES,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
LIBRA DE RES MOLIDA,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
LIBRA DE Chuleta,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Platano VERDE,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
YUCA,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
SALAMI Induveca,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
QUESO CHEDAR,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
JAMON PICNIC,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
LIBRA DE CARNE DE CERDO,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Chuleta Feresca,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Pescado MERO,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
BATATA,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
TOMATE DE Ensalada,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
TOMATE Barcelo,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Cebolla,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Repollo,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
QUESO Mozzarella,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Chuleta FRESCA,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
POLLO FRESCO,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
CARNE DE RES Rebanada,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Azucarera Pequeña,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
CARNE DE Cerdo/masa,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Pechuga DE POLLO,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Bacalao CON ESPINA,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
MUSLOS DE POLLO FRESCO,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Pechuga DE POLLO Deshuesada,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
HUEVOS CARTON 30/1,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
AZUCAR CREMA,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
LECHE ENTERA Listamilk 1 LT,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
LECHE Carnation 312 G,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
LECHE DE COCO,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Mayonesa BALDON GALON 1GL,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
ARROZ CAMPO Premiun SACO 50LB,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
CALDO DE POLLO MAGGIE,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
HARINA DE MAIZ Mazorca 14 ONZ,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
HARINA DE TRIGO MILANO 2LB,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
HARINA DEL Negrito DE 16 OZ,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
AZUCAR CREMA 5LB,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
"Azucarera EN Porcelana BLANCA C/TAPA 2.75"" X 3.14''",True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
SALAMI Induveca 3.5LB,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
AZUCAR CREMA PAQ 10LB,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
LECHE BALDOM 377 GR,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
LECHE DE COCO LA FAMOSA 444ML,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
HARINA DEL Negrito DE 28 OZ,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
CREMA DE LECHE RICA 330 ML,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
LIBRA DE Chuleta Ahumada,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Pechuga,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
POLLO (13 UND),False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Azucarera 8x11 Cm HAUS,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
CARNE DE RES MOLIDA,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Pechuga DE POLLO 50/1 LBS,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
CARNE DE RES #7,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
HUEVO 30/1,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
JAMON 5/1 LBS,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
QUESO Amarillo 5/1 LBS,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
QUESO BLANCO 5/1 LBS,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
SALAMI 3.2/1 LBS,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
JAMON 5/1,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
QUESO BLANCO 5/1,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
SALAMI,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Yogourt YOKA SIN AZUCAR,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Costilla CON FALDA,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
LIBRA DE CARNE DE RES MOLIDA,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
LIBRA DE Costilla Ahumada,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
LIBRA DE Costilla,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Bandeja DE MORO DE Habichuelas NEGRAS,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Bandeja DE POLLOS Horneados,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Bandeja DE Pastelon DE Platano MADURO,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
ARROZ Selecto LA CIGUA GRADO A (PAQ 5 LB) 12/1,True,False,ARROZ Selecto LA CIGUA GRADO A (PAQ 5 LB) 12/1,1520,1850.0,True,CREATE_PIÑARIA_PRODUCT,MATCH_EXISTING_EXACT
Habichuelas PINTAS DON Rodrigo 400G 30/1,True,False,Habichuelas PINTAS DON Rodrigo 400G 30/1,1522,1200.0,True,CREATE_PIÑARIA_PRODUCT,MATCH_EXISTING_EXACT
LECHE EN POLVO MILEX 125GR 48/1,True,False,LECHE EN POLVO MILEX 125GR 48/1,1524,3505.0,True,CREATE_PIÑARIA_PRODUCT,MATCH_EXISTING_EXACT
POLLO ENTERO GRANDE Y FRESCO,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Chuleta Ahumada (lonjeada),False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
JAMON PICNIC (5LB),False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
SALAMI (3.41 LB),False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
QUESO CHEDAR (5 LB),True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
QUESO DANES (5LB),True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
QUESO CREMA (5 LB),True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
QUESO BLANCO DE FREIR (5LB),True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
AZUCAR CREMA 2 LB Cristal,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
AZUCAR Dietetica Splenda 300/1,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
LECHE ENTERA,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
LECHE Evaporada,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Mantequilla GRANDE,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
ARROZ BLANCO 50LB,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
CALDO DE POLLO,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
