REVIEW_ID,RAW_DESCRIPTION,ORIGINAL_REASON,NEW_CLASSIFICATION,MATCHED_PRODUCT_ID,MATCHED_PRODUCT,VALID_PRICE_FOUND,CURRENT_LIST_PRICE,PROPOSED_LIST_PRICE,PROPOSED_LIST_PRICE_2_DECIMALS,ACTION,CONFIDENCE,SOURCE,IS_FOOD,IS_MEAT,IS_SERVICE,PRICE_RULE,PRICE_EVIDENCE_FILE,PRICE_EVIDENCE_SHEET,PRICE_EVIDENCE_ROW,IDENTITY_KEY,ORIGINAL_REASONS
PREC-1575,Abanico Discovery HOME 16'',EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,1575,Abanico Discovery HOME 16'',,2259.995,2260.0,2260.00,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,abanico|discovery|home|16,EXCESS_PRECISION
PREC-1588,"Abanicos DE Pedestal KGLG 16""",EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,1588,"Abanicos DE Pedestal KGLG 16""",,2776.835,2776.84,2776.84,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,"abanicos|pedestal|kglg|16""|16""",EXCESS_PRECISION
PREC-537,Alambre DE VINIL 14/2 AWG PHELPS DODGE,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,537,Alambre DE VINIL 14/2 AWG PHELPS DODGE,,47.6005,47.6,47.60,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,alambre|vinil|14/2|awg|phelps|dodge|14/2,EXCESS_PRECISION
PREC-1608,Armario DE METAL 2 Puertas 18X36X71,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,1608,Armario DE METAL 2 Puertas 18X36X71,,17205.1434,17205.14,17205.14,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,armario|metal|2|puertas|18x36x71,EXCESS_PRECISION
PREC-1548,Barnice Primer Sealer Lanco,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,1548,Barnice Primer Sealer Lanco,,7923.7288,7923.73,7923.73,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,barnice|primer|sealer|lanco,EXCESS_PRECISION
PREC-1580,BARNIZ Primier SEALER 3 Transparente CUBETA DE 5GL,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,1580,BARNIZ Primier SEALER 3 Transparente CUBETA DE 5GL,,6779.661,6779.66,6779.66,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,barniz|primier|sealer|3|transparente|cubeta|5|gal|5 gl,EXCESS_PRECISION
PREC-869,Bisagra Corta 52 Gr MAD,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,869,Bisagra Corta 52 Gr MAD,,85.4875,85.49,85.49,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,bisagra|corta|52|gr|mad,EXCESS_PRECISION
PREC-964,BROCHA DE 2'' ATLAS,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,964,BROCHA DE 2'' ATLAS,,141.2105,141.21,141.21,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,brocha|2|atlas,EXCESS_PRECISION
PREC-383,BROCHA DE 3 ATLAS,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,383,BROCHA DE 3 ATLAS,,186.184,186.18,186.18,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,brocha|3|atlas,EXCESS_PRECISION
PREC-384,BROCHA DE 4'' ATLAS,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,384,BROCHA DE 4'' ATLAS,,222.925,222.93,222.93,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,brocha|4|atlas,EXCESS_PRECISION
PREC-1573,CAMA CON BASE DE MADERA 54 PG PILLOW TOP EURO AZUL,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,1573,CAMA CON BASE DE MADERA 54 PG PILLOW TOP EURO AZUL,,13049.9976,13050.0,13050.00,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,cama|base|madera|54|pg|pillow|top|euro,EXCESS_PRECISION
PREC-954,Cemento GRIS TITAN 94 LB,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,954,Cemento GRIS TITAN 94 LB,,624.708,624.71,624.71,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,cemento|gris|titan|94|lb|94 lb,EXCESS_PRECISION
PREC-871,Cerradura P/gaveta Tallo Largo Mipecker,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,871,Cerradura P/gaveta Tallo Largo Mipecker,,165.8542,165.85,165.85,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,cerradura|p/gaveta|tallo|largo|mipecker,EXCESS_PRECISION
PREC-957,CLAVO DE ACERO 2 1/2,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,957,CLAVO DE ACERO 2 1/2,,87.954,87.95,87.95,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,clavo|acero|2|1/2|1/2,EXCESS_PRECISION
PREC-958,CLAVO DE ACERO DE 4'',EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,958,CLAVO DE ACERO DE 4'',,136.7335,136.73,136.73,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,clavo|acero|4,EXCESS_PRECISION
PREC-877,Cola Poliuretano Universal 1 GL,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,877,Cola Poliuretano Universal 1 GL,,6086.2519,6086.25,6086.25,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,cola|poliuretano|universal|1|gal|1 gl,EXCESS_PRECISION
PREC-876,Cubre Tornillo Ligth Grey 14mm Box 50 Uds,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,876,Cubre Tornillo Ligth Grey 14mm Box 50 Uds,,175.9382,175.94,175.94,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,cubre|tornillo|ligth|grey|14|mm|box|50,EXCESS_PRECISION
PREC-1168,Demoledor Electrico SDS 2200W,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,1168,Demoledor Electrico SDS 2200W,,57193.216,57193.22,57193.22,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,demoledor|electrico|sds|2200|w|2200W,EXCESS_PRECISION
PREC-1549,Diluyentes Para Pinturas Y Barnices (thinner Th-1000) Tropical,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,1549,Diluyentes Para Pinturas Y Barnices (thinner Th-1000) Tropical,,834.7458,834.75,834.75,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,diluyentes|para|pinturas|barnices|thinner|th-1000|tropical|TH-1000,EXCESS_PRECISION
PREC-1581,Diluyente Thinner TH-1000 1GAL Popular,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,1581,Diluyente Thinner TH-1000 1GAL Popular,,762.7119,762.71,762.71,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,diluyente|thinner|th-1000|1|gal|popular|TH-1000|1 gal,EXCESS_PRECISION
PREC-1572,ESTUFA A GAS Discovery HOME 24'',EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,1572,ESTUFA A GAS Discovery HOME 24'',,15089.0022,15089.0,15089.00,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,estufa|a|gas|discovery|home|24,EXCESS_PRECISION
PREC-1591,Gavetero TIPO RATTAN DE 5 Gavetas Duralon,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,1591,Gavetero TIPO RATTAN DE 5 Gavetas Duralon,,2619.4112,2619.41,2619.41,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,gavetero|tipo|rattan|5|gavetas|duralon,EXCESS_PRECISION
PREC-1544,JUEGO Comedor Plastico 4 SILLAS RIMAX,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,1544,JUEGO Comedor Plastico 4 SILLAS RIMAX,,8959.9996,8960.0,8960.00,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,juego|comedor|plastico|4|sillas|rimax,EXCESS_PRECISION
PREC-1559,JUEGO DE Comedor Platico DE 4 SILLAS RIMAX,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,1559,JUEGO DE Comedor Platico DE 4 SILLAS RIMAX,,8959.9996,8960.0,8960.00,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,juego|comedor|platico|4|sillas|rimax,EXCESS_PRECISION
PREC-1543,Juego De Sala Plastico Duralon,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,1543,Juego De Sala Plastico Duralon,,17076.2712,17076.27,17076.27,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,juego|sala|plastico|duralon,EXCESS_PRECISION
PREC-1570,JUEGO DE SALA Plastico JGO FERR Confort,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,1570,JUEGO DE SALA Plastico JGO FERR Confort,,20399.1556,20399.16,20399.16,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,juego|sala|plastico|jgo|ferr|confort,EXCESS_PRECISION
PREC-1534,KIT DE Raciones Alimenticias,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,1534,KIT DE Raciones Alimenticias,,932.2034,932.2,932.20,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,kit|raciones|alimenticias,EXCESS_PRECISION
PREC-1586,Lavadora SEMI Automatica 22 LB Dimensions,EXCESS_LIST_PRICE_PRECISION,PRICE_PRECISION_FIX,1586,Lavadora SEMI Automatica 22 LB Dimensions,,11695.0036,11695.0,11695.00,PRICE_PRECISION_FIX,HIGH,odoo_catalog,False,False,False,ROUND_HALF_UP_2,,,,lavadora|semi|automatica|22|lb|dimensions|22 lb,EXCESS_PRECISION
