product_tmpl_id,product_id,name,active,company_id,type,sale_ok,purchase_ok,list_price,standard_price,currency,uom,category,last_quotation_price,last_quotation_date,last_sale_order_price,last_sale_order_date,last_invoice_price,last_invoice_date,recent_avg_price,price_status,price_difference_pct,recommended_action,evidence,notes
1242,1242,05-A NEGRO,True,False,consu,True,True,7042.0,0.0,DOP,Units,Ferretería,,,,,,,,NO_SALES_HISTORY,,NO_ACTION,master=7042.0,"has master price, no quotation/sale/invoice lines"
1232,1232,05-A NEGRO TONER HP PAGINA PARA Impresora Laserjet,True,False,consu,True,True,12963.0,0.0,DOP,Units,Tecnología,,,,,,,,NO_SALES_HISTORY,,NO_ACTION,master=12963.0,"has master price, no quotation/sale/invoice lines"
1193,1193,12R22.5 GMX GM869 18PR Combinada,True,False,consu,True,True,21830.51,0.0,DOP,Units,Ferretería,,,,,,,,NO_SALES_HISTORY,,NO_ACTION,master=21830.51,"has master price, no quotation/sale/invoice lines"
1192,1192,12R24.5- Grandstone ZIGZAG GT168,True,False,consu,True,True,27898.13,0.0,DOP,Units,Ferretería,,,,,,,,NO_SALES_HISTORY,,NO_ACTION,master=27898.13,"has master price, no quotation/sale/invoice lines"
1238,1238,131-A Amarillo,True,False,consu,True,True,6778.81,0.0,DOP,Units,Ferretería,,,,,,,,NO_SALES_HISTORY,,NO_ACTION,master=6778.81,"has master price, no quotation/sale/invoice lines"
1228,1228,131-A Amarillo Paginas PARA Impresora COLOR Laserjet,True,False,consu,True,True,12300.21,0.0,DOP,Units,Tecnología,,,,,,,,NO_SALES_HISTORY,,NO_ACTION,master=12300.21,"has master price, no quotation/sale/invoice lines"
1241,1241,136-A NEGRO,True,False,consu,True,True,1850.0,0.0,DOP,Units,Ferretería,,,,,,,,NO_SALES_HISTORY,,NO_ACTION,master=1850.0,"has master price, no quotation/sale/invoice lines"
1231,1231,136-A NEGRO TONER Standard HP,True,False,consu,True,True,4975.0,0.0,DOP,Units,Tecnología,,,,,,,,NO_SALES_HISTORY,,NO_ACTION,master=4975.0,"has master price, no quotation/sale/invoice lines"
1239,1239,137-A NEGRO,True,False,consu,True,True,2000.0,0.0,DOP,Units,Ferretería,,,,,,,,NO_SALES_HISTORY,,NO_ACTION,master=2000.0,"has master price, no quotation/sale/invoice lines"
1229,1229,137-A NEGRO TONER Standard HP,True,False,consu,True,True,6295.0,0.0,DOP,Units,Tecnología,,,,,,,,NO_SALES_HISTORY,,NO_ACTION,master=6295.0,"has master price, no quotation/sale/invoice lines"
856,856,14111530 - Papel De Notas(...),True,False,consu,True,True,26.0,0.0,DOP,Units,Oficina,,,,,,,,NO_SALES_HISTORY,,NO_ACTION,master=26.0,"has master price, no quotation/sale/invoice lines"
261,261,1/4 Masilla P/madera Wood F Caoba WF-828-,True,False,consu,True,True,630.0,0.0,DOP,Units,Mobiliario,,,,,,,,NO_SALES_HISTORY,,NO_ACTION,master=630.0,"has master price, no quotation/sale/invoice lines"
262,262,1/4 Pasta Acrilica Cano (32 OZ),True,False,consu,True,True,790.0,0.0,DOP,Units,Ferretería,,,,,,,,NO_SALES_HISTORY,,NO_ACTION,master=790.0,"has master price, no quotation/sale/invoice lines"
469,469,1/4 PASTA Acrilica CANO BLANCA (32 OZ),True,False,consu,True,True,790.0,0.0,DOP,Units,Ferretería,,,,,,,,NO_SALES_HISTORY,,NO_ACTION,master=790.0,"has master price, no quotation/sale/invoice lines"
470,470,1/4 PASTA Acrilica CANO CAOBA (32 OZ),True,False,consu,True,True,400.49,0.0,DOP,Units,Ferretería,,,,,,,,NO_SALES_HISTORY,,NO_ACTION,master=400.49,"has master price, no quotation/sale/invoice lines"
671,671,1/4 PASTA Acrilica CANO MARRON (32 OZ),True,False,consu,True,True,790.0,0.0,DOP,Units,Ferretería,,,,,,,,NO_SALES_HISTORY,,NO_ACTION,master=790.0,"has master price, no quotation/sale/invoice lines"
