PRODUCT_ID,TEMPLATE_ID,NAME,CURRENT_TYPE,PROPOSED_TYPE,CURRENT_SALE_OK,PROPOSED_SALE_OK,CURRENT_PURCHASE_OK,PROPOSED_PURCHASE_OK,CATEGORY,COMPANY,ACTIVE,EVIDENCE,CONFIDENCE,ACTION,REASON,MISMATCH,SALE_LINE_REFERENCES,PURCHASE_LINE_REFERENCES,INVOICE_LINE_REFERENCES,STOCK_MOVE_REFERENCES,STOCK_QUANT_REFERENCES,VALUATION_LAYER_REFERENCES,IS_STORABLE,STANDARD_PRICE,LIST_PRICE
1242,1242,05-A NEGRO,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=05-a negro,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,7042.0
1232,1232,05-A NEGRO TONER HP PAGINA PARA Impresora Laserjet,consu,consu,True,True,True,True,Tecnología,,True,category=Tecnología; normalized=05-a negro toner hp pagina para impresora laserjet,DETERMINISTIC,KEEP,"Physical material, merchandise, food or tool",,0,0,0,0,0,0,False,0.0,12963.0
1193,1193,12R22.5 GMX GM869 18PR Combinada,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=12r22.5 gmx gm869 18pr combinada,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,21830.51
1192,1192,12R24.5- Grandstone ZIGZAG GT168,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=12r24.5- grandstone zigzag gt168,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,27898.13
1238,1238,131-A Amarillo,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=131-a amarillo,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,6778.81
1228,1228,131-A Amarillo Paginas PARA Impresora COLOR Laserjet,consu,consu,True,True,True,True,Tecnología,,True,category=Tecnología; normalized=131-a amarillo paginas para impresora color laserjet,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,12300.21
1241,1241,136-A NEGRO,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=136-a negro,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,1850.0
1231,1231,136-A NEGRO TONER Standard HP,consu,consu,True,True,True,True,Tecnología,,True,category=Tecnología; normalized=136-a negro toner standard hp,DETERMINISTIC,KEEP,"Physical material, merchandise, food or tool",,0,0,0,0,0,0,False,0.0,4975.0
1239,1239,137-A NEGRO,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=137-a negro,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,2000.0
1229,1229,137-A NEGRO TONER Standard HP,consu,consu,True,True,True,True,Tecnología,,True,category=Tecnología; normalized=137-a negro toner standard hp,DETERMINISTIC,KEEP,"Physical material, merchandise, food or tool",,0,0,0,0,0,0,False,0.0,6295.0
856,856,14111530 - Papel De Notas(...),consu,consu,True,True,True,True,Oficina,,True,category=Oficina; normalized=14111530 - papel de notas ...,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,26.0
261,261,1/4 Masilla P/madera Wood F Caoba WF-828-,consu,consu,True,True,True,True,Mobiliario,,True,category=Mobiliario; normalized=1/4 masilla p/madera wood f caoba wf-828-,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,630.0
262,262,1/4 Pasta Acrilica Cano (32 OZ),consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=1/4 pasta acrilica cano 32 oz,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,790.0
469,469,1/4 PASTA Acrilica CANO BLANCA (32 OZ),consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=1/4 pasta acrilica cano blanca 32 oz,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,790.0
470,470,1/4 PASTA Acrilica CANO CAOBA (32 OZ),consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=1/4 pasta acrilica cano caoba 32 oz,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,400.49
671,671,1/4 PASTA Acrilica CANO MARRON (32 OZ),consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=1/4 pasta acrilica cano marron 32 oz,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,790.0
1194,1194,195R15COSMO EL JEFE VAN Ll 8 PR,consu,consu,True,True,True,True,Ferretería,,True,category=Ferretería; normalized=195r15cosmo el jefe van ll 8 pr,HIGH_CONFIDENCE,KEEP,Already Goods and name is not a service,,0,0,0,0,0,0,False,0.0,8944.95
140,140,201-A TONER HP PARA IMPRESORA COLOR LASERJET (W277),consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=201-a toner hp para impresora color laserjet w277,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,5645.0
141,141,215-A TONER HP LASERJET PRO 201A (CF401A) CYAN,consu,consu,True,True,False,True,,,True,invoice_lines=1; normalized=215-a toner hp laserjet pro 201a cf401a cyan,DETERMINISTIC,FIX_PURCHASE_OK,"Physical material, merchandise, food or tool",,0,0,1,0,0,0,False,0.0,6947.0
