MODULE	SOURCE_VERSION	DORALEX_VERSION	SOURCE_HASH	DORALEX_HASH	STATUS
bi_convert_purchase_from_sales	19.0.0.0	19.0.0.0	0056c2be35272b6525343c27897f0336f61fb356b21c94d14053ccc4a0f1c07b	703e8a9f5e13b526a6da4ec091be12ec1af8c5895c116a6b76009b3d48b7d90a	DIFFERENT
justech_accounting_recovery	19.0.1.4.0	19.0.1.4.0	0177d22c552e3e56d35846346d9b7bdea32b4b7922ebf24e6e269e1a43d4b6e1	0177d22c552e3e56d35846346d9b7bdea32b4b7922ebf24e6e269e1a43d4b6e1	MATCH
justech_admin_center	19.0.2.12.1		7515f4d4177cea9690f44e9bde1ab2ca4240a4cf701b1b317ea0936fc33e24ab		MISSING
justech_alexander_admin		19.0.1.0.1		d8703db97c6c48165434ea068f9003a5e6d02b633fd08c676699f27e13c1c7ff	DORALEX_ONLY
justech_alexander_base		19.0.1.0.3		27e3403e25842a8f969a5d7f7c66e6b4e58d3c23239d7b9958a7ce9f8e60f65b	DORALEX_ONLY
justech_alexander_microsoft_mail		19.0.1.0.4		c200ac6ec152f7f27987311aa304d1d4b9e04474e1e565499bb815ab4549ca42	DORALEX_ONLY
justech_alexander_reports		19.0.3.8.5		4ec3f6c3163f52035d059a46aca59fd5587a0ee369a0bcc5ccb5d2508780bd3a	DORALEX_ONLY
justech_alexander_website		19.0.1.0.7		ded453f7f78a1a5dd83a65fd30b74ec0ab4cb6cd93b38774b706439d0b6a57c2	DORALEX_ONLY
justech_approval_flow	19.0.1.3.8		5b0af6c3641849751064a7ce11c909f88d8a435aed908198b2a599a8524ca156		MISSING
justech_core	19.0.1.0.0	19.0.1.0.0	8a50613a6bc1f19587b9042dd9a136e96c4b24f53c22db1995dcea7204be761e	b77698941ad51fc1c0fb989472a80a4ca58f0d02a0b2970178be43e8d6940c78	DIFFERENT
justech_dgcp_bridge	19.0.1.3.1		22f51837691f4a2b3bd0e07f1b998f0681d50f69b0c22799363d55861ba08825		MISSING
justech_ecf_admin	19.0.1.3.0		60aab5b29f2eec4bbc1b3f30837badb6adce2dfe4f2d96c5417126bef0833ed0		MISSING
justech_ecf_core	19.0.1.2.1		f7ec3aa392d80753b45b3802d3d341b2d75763acf4ef4dadc1dfef4773d61897		MISSING
justech_ecf_dgii	19.0.1.0.0		edd695b8e13a9465b686b61f6d750553cbd7af2c675be6f047e69afb6af05f0e		MISSING
justech_ecf_queue	19.0.1.0.0		0c319cd003f6a464b6bd371550f740f89cac522e3b2ff5588b0acb8244b6fd13		MISSING
justech_ecf_signature	19.0.1.1.0		a8125c6b3b27d1dab395286654e8c7c35cb51fe15357aa82e824c826b28d07dd		MISSING
justech_ecf_xml	19.0.1.0.0		bf7d215331cf86e4189f2facc6ca608bd367481bd63284cead93436f28a49995		MISSING
justech_fiscal_admin	19.0.1.10.0	19.0.1.10.0	cdfa7770e2ef2ad8efe5586065e07a4ef6e4e8494d563328a5fb16f77726ca9a	cdfa7770e2ef2ad8efe5586065e07a4ef6e4e8494d563328a5fb16f77726ca9a	MATCH
justech_global_audit_log	19.0.4.1.4	19.0.4.1.4	4f6fe6934214fa28990a7d64b63bbed67b322cf68be33aa74cdf58bad18cc99b	1230c1206f30bdad4d8933e93690ad7ff86a95c60ab223817df18e6e070ca4ab	DIFFERENT
justech_l10n_do_adel_freeze	19.0.1.0.0		1a0f19751c71693e1b42b36f5c9f8e4deb129144974055ce2f93bb3d6b0ba422		MISSING
justech_l10n_do_base	19.0.1.27.1	19.0.1.27.1	7bbaeabf00ef5f86204af14b08484930e91c49ab2a684a6c5a2a3971c3c1e418	7bbaeabf00ef5f86204af14b08484930e91c49ab2a684a6c5a2a3971c3c1e418	MATCH
justech_l10n_do_hr_payroll	19.0.1.38.0		140b735a1bca9b90f477ea493883bd985056d16f656e5ada58ed16e098bfb7fc		MISSING
justech_l10n_do_hr_payroll_account	19.0.1.9.0		7ed62b11bf393afd87f347878a90e2bc074de559d192056c6956903a83601f8d		MISSING
justech_l10n_do_hr_payroll_attendance	19.0.1.15.0		2bbcf86d7e7ae3959a1db0f34d1f313a2aee1a93e0b4c4c7b3d480448902ab20		MISSING
